gd,dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
GD1,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1280.0,0.3365378868693295,0.5892857142857143,0.3623695525024859,3.1828312176200653,198.87953734264312,0.3141856830057553,0.5056998178352167,0.7921167966222785,0.9247473404255316,42.48589201799338,63.72396962121012
GD1,Country × Religion,"['country', 'religion']",Religious representativeness by country,1280.0,0.4817980945730149,0.5714285714285714,0.41552026794284036,3.8045124923514373,260.2173082596754,0.26284576591886405,0.24540453181139527,0.9381171701935908,0.970043956043956,51.35798702773883,58.90749257992161
GD1,Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1280.0,0.42439839549094516,0.4827586206896552,0.378567402039065,9.629492526221107,125.5517875638714,0.10384763239360746,0.26634365975451163,0.9503124693227294,0.9765208333333332,44.6588263535473,49.43659205321497
GD1,Country,['country'],Country-level representativeness,1280.0,0.5900543604611901,0.5588235294117647,0.47478226866003015,2.54332132533041,484.0127701284766,0.3931866532319062,0.16129754298474014,0.995,0.99,59.30194577499398,56.44682115270351
GD1,Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1280.0,0.5443301617956474,0.6961325966850829,0.5145208880982974,3.7395212029764613,330.25618333625306,0.2674139136325936,0.22151970088853365,0.98,0.99,55.54389406078035,70.31642390758412
GD1,Region × Religion,"['region', 'religion']",Regional religious representativeness,1280.0,0.5974462669934025,0.8703703703703703,0.5921316402238004,3.2974226861390314,349.667030813709,0.3032671559529133,0.04094728070810127,0.98,0.99,60.96390479524516,87.91619902731014
GD1,Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1280.0,0.5376434469910469,0.868421052631579,0.5443571382805683,6.410818945283707,199.66247852650193,0.15598631134882965,0.04986653397363467,0.98,0.99,54.861576223576215,87.71929824561404
GD1,Region,['region'],Regional representativeness,1280.0,0.7454879707735375,1.0,0.7275821935856828,2.1877606876539595,585.0731331005885,0.45708838523483475,0.0001371345085145366,0.98,0.99,76.07020109934057,101.01010101010101
GD1,Continent,['continent'],Continental representativeness,1280.0,0.831648785646731,1.0,0.9168186630646294,1.1185772551955893,1144.3107698235694,0.8939927889246636,0.0,0.995,1.0,83.58279252730965,100.0
GD1,Religion,['religion'],Global religious representativeness,1280.0,0.8165787815167513,1.0,0.7552999595997738,1.3691219859313704,929.0625766517793,0.7303951074306441,0.0,0.997265625,1.0,81.88177362643492,100.0
GD1,Environment,['environment'],Global urban/rural representativeness,1280.0,0.628638355798324,1.0,0.6022840564290987,2.9690536634346354,431.1137975590786,0.3368076543430301,0.0,0.999,1.0,62.92676234217457,100.0
GD1,Age Group,['age_group'],Global age representativeness,1280.0,0.6557640548242998,1.0,0.6190430959389313,4.376113816907893,292.2684494764182,0.22851325213167958,0.0,0.997265625,1.0,65.75620761262073,100.0
GD1,Gender,['gender'],Global gender representativeness,1280.0,0.9885515843321188,1.0,0.9880257927474972,1.0005245927556907,1279.3288733408995,0.9994756822975777,0.0,0.999,1.0,98.95411254575764,100.0
GD1,Overall (Average),,,,0.6291444727743337,0.8182477273463645,0.6070233014702078,,,,,,,,
GD2,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1105.0,0.3291978461493478,0.5773809523809523,0.3674005718325799,3.8539589956074494,135.70460936301845,0.2594734404646625,0.5156331691454775,0.7921167966222785,0.9247473404255316,41.55925585129664,62.436616699569505
GD2,Country × Religion,"['country', 'religion']",Religious representativeness by country,1105.0,0.4875291682662378,0.5630252100840336,0.43882587168766585,4.883313841431217,173.2430123213321,0.20477897437509704,0.2647798989684761,0.9381171701935908,0.970043956043956,51.96889938232672,58.04120592433453
GD2,Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1105.0,0.39401708627075227,0.45517241379310347,0.3878789841222702,15.92341416052055,65.81503121349071,0.06280060230294915,0.28967053923837116,0.9503124693227294,0.9765208333333332,41.46184533930836,46.6116439358884
GD2,Country,['country'],Country-level representativeness,1105.0,0.5732647358685965,0.5196078431372549,0.4786442803648905,2.473652887139403,432.55866882656113,0.4042604381556647,0.20843159658191654,0.995,0.99,57.61454631845191,52.485640720934846
GD2,Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1105.0,0.5426138596860964,0.6408839779005525,0.5211034258893152,3.1682217662768855,337.0976146202836,0.3156344706182431,0.25911037943403703,0.98,0.99,55.36876119245881,64.73575534349015
GD2,Region × Religion,"['region', 'religion']",Regional religious representativeness,1105.0,0.5873751851852979,0.8518518518518519,0.5902835079910573,4.374726045146407,224.47119885129533,0.22858574221109504,0.07591100200102927,0.98,0.99,59.93624338625489,86.04564160119715
GD2,Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1105.0,0.5070481406604472,0.8157894736842105,0.5394000144484105,5.622759277919727,196.52272939004797,0.17784862388239636,0.08395087737502538,0.98,0.99,51.73960618984156,82.40297713981924
GD2,Region,['region'],Regional representativeness,1105.0,0.7394930682739191,0.95,0.7245349650788955,1.9805368348729748,557.929537357416,0.5049136084682498,0.043167372008341434,0.98,0.99,75.45847635448155,95.95959595959596
GD2,Continent,['continent'],Continental representativeness,1105.0,0.830471608044921,1.0,0.909232407408521,1.118279905311056,988.1247036202783,0.8942305010138265,0.0,0.995,1.0,83.46448322059507,100.0
GD2,Religion,['religion'],Global religious representativeness,1105.0,0.8192265473538554,1.0,0.7579477254368778,1.2866101849959397,854.1825743462994,0.7772361913979065,0.0,0.9968325791855204,1.0,82.18296276223424,100.0
GD2,Environment,['environment'],Global urban/rural representativeness,1105.0,0.6234453410924415,1.0,0.5970910417232163,3.161302522199443,349.5394674316737,0.31632530989291735,0.0,0.999,1.0,62.40694105029445,100.0
GD2,Age Group,['age_group'],Global age representativeness,1105.0,0.6843733591229424,1.0,0.6476524002375739,4.76325325468492,231.9843058760674,0.2099405483041334,0.0,0.9968325791855204,1.0,68.65479453752621,100.0
GD2,Gender,['gender'],Global gender representativeness,1105.0,0.9897393671375486,1.0,0.9892135755529271,1.0004213380151485,1104.5346175765674,0.9995788394358076,0.0,0.999,1.0,99.07300972347835,100.0
GD2,Overall (Average),,,,0.623676562547108,0.7979778248332277,0.6114775978287846,,,,,,,,
GD3,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,971.0,0.3482910060350348,0.5636363636363636,0.3833956466915086,2.9538429372567867,166.22413934303097,0.33854203532185534,0.5413285828532584,0.7921167966222785,0.9247473404255316,43.96965289969955,60.95030923549353
GD3,Country × Religion,"['country', 'religion']",Religious representativeness by country,971.0,0.5138397549706711,0.5,0.4443606667844595,4.464975684484153,169.98972752248898,0.22396538540512387,0.28367570570236894,0.9381171701935908,0.970043956043956,54.773515643534665,51.54405600743141
GD3,Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,971.0,0.43452480962213513,0.427536231884058,0.40199264196788265,7.863200418446385,112.93111617972106,0.12717468038256877,0.3046148823200829,0.9503124693227294,0.9765208333333332,45.72441419523972,43.781578158928994
GD3,Country,['country'],Country-level representativeness,971.0,0.6184065577672024,0.4803921568627451,0.5046813080534449,1.8151343529001378,516.2152313975573,0.5509234059739139,0.22206576654563506,0.995,0.99,62.15141284092487,48.52446028916617
GD3,Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,971.0,0.5695450320687568,0.6214689265536724,0.5426554557444929,2.316422010313384,406.2299511101148,0.4317002668545323,0.2683730572885937,0.98,0.99,58.116840007016,62.77463904582549
GD3,Region × Religion,"['region', 'religion']",Regional religious representativeness,971.0,0.6322060678569339,0.8076923076923077,0.583428676406553,3.859798524718481,225.91852771994115,0.2590808804127765,0.08812308318292228,0.98,0.99,64.51082325070755,81.58508158508158
GD3,Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,971.0,0.562097536087587,0.7894736842105263,0.5516893524033218,4.5814636522542695,211.94100263618327,0.21827085750379327,0.08909587674221786,0.98,0.99,57.35689143750887,79.74481658692186
GD3,Region,['region'],Regional representativeness,971.0,0.7913468344781003,0.85,0.7506358215450926,1.2854064728098904,755.4030732997634,0.7779640301748336,0.06324735834763454,0.98,0.99,80.74967698756126,85.85858585858585
GD3,Continent,['continent'],Continental representativeness,971.0,0.8856435397661955,1.0,0.8689958644034554,1.0539600604068688,921.287282579908,0.9488025567249311,0.0,0.995,1.0,89.0094009815272,100.0
GD3,Religion,['religion'],Global religious representativeness,971.0,0.8331041097865762,1.0,0.7718252878695987,1.2734652755868456,759.3454007251054,0.7852589459411637,0.0,0.9963954685890835,1.0,83.61179231036336,100.0
GD3,Environment,['environment'],Global urban/rural representativeness,971.0,0.6424554580125361,1.0,0.6161011586433108,2.56721019367839,378.2315925634109,0.38952790171309054,0.0,0.9989701338825953,1.0,64.3117783226982,100.0
GD3,Age Group,['age_group'],Global age representativeness,971.0,0.706135709146958,1.0,0.6622966369103933,3.5599762500969536,272.75462862246775,0.2809007503835919,0.0,0.9963954685890835,1.0,70.86902052523992,100.0
GD3,Gender,['gender'],Global gender representativeness,971.0,0.9963737503743695,1.0,0.996899541958991,1.0000526001401142,970.948927950346,0.999947402626515,0.0,0.9989701338825953,1.0,99.74009398077452,100.0
GD3,Overall (Average),,,,0.656459243536389,0.7723230516030518,0.6214583122601928,,,,,,,,
GD4,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1050.0,0.36066750033650286,0.5654761904761905,0.394782056718872,2.4584379729365797,233.48158721871786,0.40676234707093706,0.5369363227776631,0.7921167966222785,0.9247473404255316,45.532111157653866,61.149263777928894
GD4,Country × Religion,"['country', 'religion']",Religious representativeness by country,1050.0,0.5350297203527017,0.5294117647058824,0.4499907546588582,1.6602766679538206,499.91668016567337,0.6023092532116546,0.3276501777703029,0.9381171701935908,0.970043956043956,57.03229163178971,54.5760593019862
