dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,9144.0,0.17922284184706838,0.10119047619047619,0.22102161827834188,1.1701182211558914,2271.5653443754754,0.8546145012699302,0.954088619220271,0.8728720823789424,0.9599740680713128,20.532543710025756,10.54095934005575,WVS_Wave_1,9144
Country × Religion,"['country', 'religion']",Religious representativeness by country,9144.0,0.163660386576442,0.07563025210084033,0.17053408492711886,5.822656430473595,1020.3246698374712,0.17174291698998004,0.927201750506844,0.9650464461761468,0.9894285714285715,16.9588093117095,7.643831428037571,WVS_Wave_1,9144
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,9144.0,0.0781718352743721,0.06206896551724138,0.07693369808146011,1.4767526052041244,5035.372867327468,0.6771614937234357,0.9245075173065478,0.975817157862259,0.9921604938271604,8.01091010180889,6.25594003222367,WVS_Wave_1,9144
Country,['country'],Country-level representativeness,9144.0,0.08457589504990948,0.06862745098039216,0.08332616727065245,1.682017640404625,5436.328240767039,0.594524085823167,0.9154241049500862,0.995,0.99,8.500089954764771,6.932065755595168,WVS_Wave_1,9144
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,9144.0,0.3511510799045239,0.22099447513812154,0.37324371455812666,2.364225493539025,2038.7226231897662,0.4229714985870884,0.7119562171709448,0.98,0.99,35.83174284740039,22.32267425637591,WVS_Wave_1,9144
Region × Religion,"['region', 'religion']",Regional religious representativeness,9144.0,0.3605518234929008,0.24074074074074073,0.3592540771404418,2.963283379593666,2408.8145093226904,0.33746350648958956,0.661128945330439,0.98,0.99,36.79100239723478,24.31724653946876,WVS_Wave_1,9144
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,9144.0,0.33885377094561087,0.3,0.30993750635946127,2.3649270663015978,3845.7845612225406,0.42284602102501817,0.6234398939084609,0.98,0.99,34.57691540261336,30.303030303030305,WVS_Wave_1,9144
Region,['region'],Regional representativeness,9144.0,0.3964133392318754,0.3,0.34623281581535803,1.73897834224642,5258.25985169415,0.5750502899927986,0.6035866607681241,0.98,0.99,40.45034073794647,30.303030303030305,WVS_Wave_1,9144
Continent,['continent'],Continental representativeness,9144.0,0.4833022414878949,0.8333333333333334,0.674953247201952,2.2618818648550914,4042.6514496970935,0.44210973859329544,0.1478168252174538,0.995,1.0,48.57308959677336,83.33333333333334,WVS_Wave_1,9144
Religion,['religion'],Global religious representativeness,9144.0,0.5939527428723737,1.0,0.542694343274233,58.39939908506303,125.77184209209867,0.017123463865500163,0.0,0.999,1.0,59.454729016253616,100.0,WVS_Wave_1,9144
Environment,['environment'],Global urban/rural representativeness,9144.0,0.7578549185717272,1.0,0.731500619202502,1.3666308837587229,6655.0522954563285,0.7317264755861824,0.0,0.999,1.0,75.8613532103831,100.0,WVS_Wave_1,9144
Age Group,['age_group'],Global age representativeness,9144.0,0.7742782152230973,0.8333333333333334,0.7742782152230971,1.0152200445849422,5773.132663467242,0.9850081323097155,0.1333184770949109,0.999,1.0,77.50532684915889,83.33333333333334,WVS_Wave_1,9144
Gender,['gender'],Global gender representativeness,9144.0,0.9806010156532036,1.0,0.980075224068582,1.001507804785955,9130.233390397074,0.9984944652665216,0.0,0.999,1.0,98.1582598251455,100.0,WVS_Wave_1,9144
Overall (Average),,,,0.42635308508699993,0.46430146364111374,0.43415271780010206,,,,,,,,,WVS_Wave_1,9144
